TXID,fee,output,removed,size,time
0b989e98dd92fa1c534f29fcbb560a7bcbb0a7f5be7ac8815049a1e20d979b35,41132.0,8390497,1510269627.33,226,1510264160
af64969ec9f40f9ac31a32313c847470c4f6d4da64eadfa048abf60c29a6fcac,65711.0,990315,1510262776.97,226,1510262400
cfe20aeae3203bfb0c507a3ac8bd4f6ae8654d864f550957a4c6b86c93e9be14,65698.0,3781041,1510266490.02,223,1510266234
74449756ed3bfb58b676fbe9e544e5cfeafa3e020bdbf5f6996bd84709b3234c,60828.0,299341533,1510265399.55,250,1510264960
35274d17bbc251440676ab925bc3c4ab15ddd5afdf0738b341062c822aa05848,47199.0,9034100,1510265586.75,226,1510262398
29803817b774602eb12b9ac05fac2114d1fe053e7d0ec1751663ff81c4d1f80f,58857.0,3281609,1510265399.55,225,1510265289
6f30b47f7f28924031e2e4bdc53e86198f3bd7e8eea2cfa45cddce3195015a37,43862.0,1572836,1510266190.01,174,1510266089
36feda2a7b3cf4753d18b78fbf9a561ba609de1064dfe1dfff126f355affd0bc,82214.0,465286,1510266190.01,338,1510265890
28e80306d4ea23f2f0f431d70bb8cad61d896952acacbdeea71509cf2463d904,72909.0,9879643,1510264642.6,225,1510263341
5a2379f371f13c1ee68c5a7a3ccd9ba37dc0fe421e175989877dcf4740608284,72906.0,7716812,1510262776.97,226,1510261850
4dba80b029e85df6c3732ccf7c6e90bb56bf35c6b69744042b7ac97100c188e8,90616.0,14863311,1510266190.01,374,1510266041
b983b4104d3d55aa23c744c85bbaa67b94a5a1f9900fd87c7bf3987f65e205bf,157500.0,2528167042,1510267249.64,521,1510267019
c0343daa8f8d92c8969301e22ef5af5897f3862fea457d39a1b68a9294c0aca7,195392.0,8512505653,1510263058.57,665,1510262803
0d29827510f54b0138e654e6f88f74cb957bb4c6aef72acfedf79a3016b32be5,72909.0,436520606,1510265399.55,225,1510265363
a6bca20e8ce01ab7d792977a22b31780e360188f1147470c34fdf56eca9499dc,51700.0,3968632,1510263058.57,223,1510261792
27ced5cd7678edf484f63fc800685b60832bd8d79a0e98e4936bbb258e0a6ca1,59108.0,13838903,1510262776.97,223,1510261633
2e1723824ac9f7b86dd4ea262c599659a409c861d931c61eed2d9e3ebc3a3a8c,57494.0,4655006,1510267249.64,225,1510266514
260ae53b0778fa04530df1c28e3ad5dc5dad67a7ccb76fe04503efc364ac5ce8,323146.0,23127598,1510265399.55,817,1510264680
2f5545c4003df0cc75c226e7b7ec4075bab53d1ed0162b36d13aaeff17d271f7,72909.0,983157963,1510264642.6,225,1510263946
6fc820af72925779a64b88e1610eb9b5cb143d8286a2c41f4904541bdff0885f,62720.0,1049047841,1510262776.97,223,1510262533
928295f228fd7a65abb26db72b5eb1d08f90dbab465a5441bafcee9f804af97e,72909.0,602252,1510265883.38,225,1510265573
bc86e816a2c41087c19180518ec090623281537fcf04242d13dfd5833adc8ade,42036.0,1880481,1510266190.01,226,1510263461
86c1ee577974e4f057a3d63d6cbcf3b916a3c31395d729af9c66f28ae15cfaef,72909.0,20817927,1510265399.55,226,1510264722
